road,id,model_type,length,condition,LRPName,name,chainage,lat,lon
N1,0,source,0.0,0,LRP001,road N1,0.0,23.69873866,90.4588610799999
N1,1,link,1800.0,0,LRP001-road,road N1,0.0,23.69873866,90.4588610799999
N1,2,bridge,11.3,A,LRP001,.,1.8,23.69873866,90.4588610799999
N1,3,link,3113.7,0,LRP001-road,road N1,1.8113000000000001,23.69873866,90.4588610799999
N1,4,bridge,6.6,A,LRP004,.,4.925,23.6946638363636,90.4877749181818
N1,5,link,4044.400000000001,0,LRP004-road,road N1,4.9315999999999995,23.6946638363636,90.4877749181818
N1,6,bridge,397.0,C,LRP008,KANCHPUR PC GIRDER BRIDGE,8.976,23.7050598925675,90.5232141463513
N1,7,link,1169.9999999999984,0,LRP008-road,road N1,9.373000000000001,23.7050598925675,90.5232141463513
N1,8,bridge,6.866666666666667,B,LRP010,KATCHPUR BOX CULVERT,10.543,23.6964000869109,90.5350989801047
N1,9,link,746.1333333333334,0,LRP010-road,road N1,10.549866666666667,23.6964000869109,90.5350989801047
N1,10,bridge,9.45,B,LRP011,NAYABARI KASPUR BOX CULVERT,11.296,23.6923601518691,90.5409183897196
N1,11,link,933.5500000000013,0,LRP011-road,road N1,11.305449999999999,23.6923601518691,90.5409183897196
N1,12,bridge,7.7,A,LRP012,KHAS PARA BOX CULVERT,12.239,23.6884123260204,90.5485585290816
N1,13,link,413.2999999999994,0,LRP012-road,road N1,12.2467,23.6884123260204,90.5485585290816
N1,14,bridge,27.5,A,LRP013,Madanpur Bridge.(L),12.66,23.685583027027,90.551207981081
N1,15,link,886.4999999999997,0,LRP013-road,road N1,12.6875,23.685583027027,90.551207981081
N1,16,bridge,11.9,A,LRP014,KAWTALA BOX CULVERT,13.574,23.6778035,90.5558194349999
N1,17,link,1879.1,0,LRP014-road,road N1,13.5859,23.6778035,90.5558194349999
N1,18,bridge,5.55,B,LRP016,MALIBAG BOX CULVERT,15.465,23.6633090696149,90.563856994797
N1,19,link,1663.4500000000005,0,LRP016-road,road N1,15.47055,23.6633090696149,90.563856994797
N1,20,bridge,159.52,C,LRP017,Langalbandh Bridge.,17.134,23.6544257051136,90.576730225
N1,21,link,0.0,0,LRP017-road,road N1,17.29352,23.6544257051136,90.576730225
N1,22,bridge,21.816666666666666,B,LRP018,Darikandi Bridge (R),17.222,23.65397226,90.57741042
N1,23,link,1498.183333333333,0,LRP018-road,road N1,17.243816666666667,23.65397226,90.57741042
N1,24,bridge,40.415,B,LRP019,Mollik para Bridge(R),18.742,23.6459685949152,90.5892119813559
N1,25,link,977.5850000000007,0,LRP019-road,road N1,18.782415,23.6459685949152,90.5892119813559
N1,26,bridge,8.2,B,LRP020,KRIBORDI BOX CULVERT,19.76,23.6379543715384,90.5936673976923
N1,27,link,1415.7999999999995,0,LRP020-road,road N1,19.7682,23.6379543715384,90.5936673976923
N1,28,bridge,88.33500000000001,A,LRP021,Marikhali Bridge(L),21.184,23.6284668507692,90.6023015723077
N1,29,link,1055.6649999999984,0,LRP021-road,road N1,21.272335,23.6284668507692,90.6023015723077
N1,30,bridge,5.5,B,LRP022,SANGAKADI CULVERT,22.328,23.6198832229508,90.6083528852459
N1,31,link,262.5000000000007,0,LRP022-road,road N1,22.3335,23.6198832229508,90.6083528852459
N1,32,bridge,168.61,B,LRP023,ASHIR CHAR ( Left),22.596,23.6176407964705,90.6095506105882
N1,33,link,1628.3900000000008,0,LRP023-road,road N1,22.76461,23.6176407964705,90.6095506105882
N1,34,bridge,900.0,C,LRP024,MEGHNA BRIDGE,24.393,23.6027595885583,90.6155316965675
N1,35,link,821.9999999999977,0,LRP024-road,road N1,25.293,23.6027595885583,90.6155316965675
N1,36,bridge,5.55,A,LRP026,TATULTALA CULVERT,26.115,23.5929818827893,90.6279699370919
N1,37,link,999.4500000000025,0,LRP026-road,road N1,26.120549999999998,23.5929818827893,90.6279699370919
N1,38,bridge,5.6,A,LRP027,MALUAKANDI CULVEDRT,27.12,23.58631812254,90.6345094207093
N1,39,link,1189.4000000000003,0,LRP027-road,road N1,27.125600000000002,23.58631812254,90.6345094207093
N1,40,bridge,172.675,A,LRP028,Bhater char Bridge (L),28.315,23.5779800248475,90.6419193089939
N1,41,link,650.3250000000005,0,LRP028-road,road N1,28.487675000000003,23.5779800248475,90.6419193089939
N1,42,bridge,29.810000000000002,A,LRP029,Anarpara Bridge (L),29.138,23.5716306256965,90.6454159236842
N1,43,link,674.1899999999971,0,LRP029-road,road N1,29.167810000000003,23.5716306256965,90.6454159236842
N1,44,bridge,34.7,A,LRP030,VITIKANDA - ANAR PUR CULVERT,29.842,23.5660033956521,90.6486237247282
N1,45,link,1031.3000000000025,0,LRP030-road,road N1,29.8767,23.5660033956521,90.6486237247282
N1,46,bridge,26.3,B,LRP031,ALIPURA BRIDGE (LEFT),30.908,23.5591910296296,90.6557475703703
N1,47,link,537.7,0,LRP031-road,road N1,30.9343,23.5591910296296,90.6557475703703
N1,48,bridge,29.862499999999997,A,LRP032,Bhaber char Bridge(R),31.472,23.5557082901265,90.6597414245569
N1,49,link,1275.1374999999998,0,LRP032-road,road N1,31.5018625,23.5557082901265,90.6597414245569
N1,50,bridge,7.15,A,LRP033,PURRANBUICHE BOX CULVERT,32.777,23.5477377446428,90.6690554098214
N1,51,link,806.85,0,LRP033-road,road N1,32.784150000000004,23.5477377446428,90.6690554098214
N1,52,bridge,35.629999999999995,C,LRP034,Madhya Baushia Bridge(L),33.591,23.54268543125,90.6748292125
N1,53,link,1554.3699999999963,0,LRP034-road,road N1,33.62663,23.54268543125,90.6748292125
N1,54,bridge,9.5,A,LRP035,.,35.181,23.5327751898617,90.6858701078341
N1,55,link,217.50000000000387,0,LRP035-road,road N1,35.1905,23.5327751898617,90.6858701078341
N1,56,bridge,16.6875,B,LRP036,BORAKANDI BRIDGE(L),35.408,23.5313996605222,90.68744892596
N1,57,link,1585.3124999999968,0,LRP036-road,road N1,35.424687500000005,23.5313996605222,90.68744892596
N1,58,bridge,1408.8,C,LRP037,Daud Kandi Bridge,37.01,23.5303844733,90.7024402743
N1,59,link,885.2000000000041,0,LRP037-road,road N1,38.4188,23.5303844733,90.7024402743
N1,60,bridge,14.55,C,LRP040,Baldhakhal Bridge,39.304,23.5324186,90.7242807234
N1,61,link,3617.4499999999975,0,LRP040-road,road N1,39.31855,23.5324186,90.7242807234
N1,62,bridge,16.5,C,LRP043,SHAHID NAGIR,42.936,23.5298050611,90.75825325
N1,63,link,2211.5000000000014,0,LRP043-road,road N1,42.9525,23.5298050611,90.75825325
N1,64,bridge,3.9,C,LRP046,SARKAR BARI CULVERT,45.164,23.5307655282208,90.7800797251533
N1,65,link,1703.1000000000006,0,LRP046-road,road N1,45.1679,23.5307655282208,90.7800797251533
N1,66,bridge,6.5,C,LRP047,AMIRABATH SLAB CULVERT,46.871,23.5308683409424,90.7918075171727
N1,67,link,1506.4999999999982,0,LRP047-road,road N1,46.877500000000005,23.5308683409424,90.7918075171727
N1,68,bridge,15.9,C,LRP049,Ginlatoly,48.384,23.5318234765,90.8110155135
N1,69,link,2158.0999999999995,0,LRP049-road,road N1,48.3999,23.5318234765,90.8110155135
N1,70,bridge,12.2,A,LRP051,RAIPUR BOX CULVERT,50.558,23.5329743291,90.8309774761999
N1,71,link,1742.8000000000025,0,LRP051-road,road N1,50.5702,23.5329743291,90.8309774761999
N1,72,bridge,4.5,C,LRP053,AITAL BANGA BOX CULVERT,52.313,23.5229166652,90.8442186132
N1,73,link,3688.4999999999977,0,LRP053-road,road N1,52.3175,23.5229166652,90.8442186132
N1,74,bridge,28.9,C,LRP056,Illiot bazar Bridge,56.006,23.510087758207,90.8757204035353
N1,75,link,2803.100000000001,0,LRP056-road,road N1,56.0349,23.510087758207,90.8757204035353
N1,76,bridge,5.9,B,LRP059,KHAT GHOR BOX CULVERT,58.838,23.5060024341,90.9021745389
N1,77,link,1986.0999999999972,0,LRP059-road,road N1,58.8439,23.5060024341,90.9021745389
N1,78,bridge,3.0,B,LRP061,BAKRA BOX CULVERT,60.83,23.5056131416,90.9214660218
N1,79,link,2265.000000000001,0,LRP061-road,road N1,60.833,23.5056131416,90.9214660218
N1,80,bridge,4.5,B,LRP064,MATIA BAZER,63.098,23.5024077848,90.9432418928
N1,81,link,3075.499999999998,0,LRP064-road,road N1,63.1025,23.5024077848,90.9432418928
N1,82,bridge,4.6,B,LRP067,KARON KHAL SLAB CULVERT,66.178,23.495896314,90.9715772516
N1,83,link,1857.4000000000092,0,LRP067-road,road N1,66.1826,23.495896314,90.9715772516
N1,84,bridge,4.5,A,LRP068,MILL GHAT BOX CULVERT,68.04,23.4932728146,90.9887200416
N1,85,link,3111.4999999999995,0,LRP068-road,road N1,68.0445,23.4932728146,90.9887200416
N1,86,bridge,23.1,C,LRP072,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,71.156,23.4868805937254,91.017566692647
N1,87,link,3099.8999999999905,0,LRP072-road,road N1,71.1791,23.4868805937254,91.017566692647
N1,88,bridge,4.6,B,LRP075,CORI PAI BOX CULVERT,74.279,23.4817873233065,91.0463348850746
N1,89,link,1028.4000000000015,0,LRP075-road,road N1,74.28359999999999,23.4817873233065,91.0463348850746
N1,90,bridge,4.6,B,LRP076,COREPAI BOX CULVERT,75.312,23.4817498298684,91.0563549686842
N1,91,link,1164.399999999997,0,LRP076-road,road N1,75.3166,23.4817498298684,91.0563549686842
N1,92,bridge,1.5,A,LRP077,NIMSHAR SLAB CULVERT,76.481,23.480613086,91.0674097692
N1,93,link,1899.5000000000105,0,LRP077-road,road N1,76.48249999999999,23.480613086,91.0674097692
N1,94,bridge,1.0,C,LRP079,KABILA DUBARCHAR SLAB CULVERT,78.382,23.4776722851,91.0847406393
N1,95,link,2565.999999999993,0,LRP079-road,road N1,78.38300000000001,23.4776722851,91.0847406393
N1,96,bridge,3.0,B,LRP081,NAZIRA BOX CULVERT,80.949,23.4781159049382,91.1070332074074
N1,97,link,1484.9999999999995,0,LRP081-road,road N1,80.952,23.4781159049382,91.1070332074074
N1,98,bridge,2.15,A,LRP083,TIPRA BAZAR BOX CULVERT,82.437,23.4794083880733,91.1238920825688
N1,99,link,5273.849999999997,0,LRP083-road,road N1,82.43915,23.4794083880733,91.1238920825688
N1,100,bridge,22.85,C,LRP088,Dhanpur Bridge,87.713,23.4436339598272,91.1493668151188
N1,101,link,3356.150000000005,0,LRP088-road,road N1,87.73585,23.4436339598272,91.1493668151188
N1,102,bridge,35.97,C,LRP092,Paduar Bazar Bridge,91.092,23.4212487704918,91.1678943372365
N1,103,link,2472.0299999999957,0,LRP092-road,road N1,91.12797,23.4212487704918,91.1678943372365
N1,104,bridge,27.35,C,LRP094,Mostapur Bridge,93.6,23.4119324230158,91.1939029849206
N1,105,link,3629.650000000011,0,LRP094-road,road N1,93.62734999999999,23.4119324230158,91.1939029849206
N1,106,bridge,27.35,C,LRP098,Matigara Bridge,97.257,23.3976518197887,91.2234221346859
N1,107,link,3653.6499999999974,0,LRP098-road,road N1,97.28435,23.3976518197887,91.2234221346859
N1,108,bridge,30.48,A,LRP101,Suagazi Bridge.,100.938,23.3713647755,91.2450175414999
N1,109,link,2487.520000000001,0,LRP101-road,road N1,100.96848,23.3713647755,91.2450175414999
N1,110,bridge,22.8,C,LRP104,LAL BAG RCC GIDER BRIDGE,103.456,23.3521636774381,91.2572910746724
N1,111,link,1274.199999999997,0,LRP104-road,road N1,103.4788,23.3521636774381,91.2572910746724
N1,112,bridge,14.3,A,LRP105,CHANSIRI BOXCUIVERT,104.753,23.342671472,91.264485636
N1,113,link,1751.7000000000055,0,LRP105-road,road N1,104.7673,23.342671472,91.264485636
N1,114,bridge,24.0,A,LRP107,MIABAZAR BOX CULVERT,106.519,23.3301462324,91.2748792824
N1,115,link,1581.9999999999945,0,LRP107-road,road N1,106.543,23.3301462324,91.2748792824
N1,116,bridge,9.2,A,LRP109,NOYA BAZER BOX CULVERT,108.125,23.3180696869138,91.2830867321701
N1,117,link,1154.8000000000013,0,LRP109-road,road N1,108.1342,23.3180696869138,91.2830867321701
N1,118,bridge,10.9,B,LRP110,DOLL BARI CULVERT,109.289,23.3083612731261,91.2865787034735
N1,119,link,1251.1000000000004,0,LRP110-road,road N1,109.29990000000001,23.3083612731261,91.2865787034735
N1,120,bridge,3.2,A,LRP111,LALGORE BEZER CULVERT,110.551,23.2979675271676,91.2910141369942
N1,121,link,954.7999999999984,0,LRP111-road,road N1,110.55420000000001,23.2979675271676,91.2910141369942
N1,122,bridge,13.4,A,LRP112,SUPUYA BOX CULVERT,111.509,23.2897066386454,91.2929584711155
N1,123,link,946.5999999999938,0,LRP112-road,road N1,111.5224,23.2897066386454,91.2929584711155
N1,124,bridge,4.6,B,LRP113,BOWCHI BAZAR CULVERT,112.469,23.2821949258397,91.2966655096899
N1,125,link,1243.4000000000046,0,LRP113-road,road N1,112.47359999999999,23.2821949258397,91.2966655096899
N1,126,bridge,6.3,B,LRP114,AMAN GONG SLAB CULVERT,113.717,23.27301895,91.3029661882
N1,127,link,1328.700000000008,0,LRP114-road,road N1,113.7233,23.27301895,91.3029661882
N1,128,bridge,3.1999999999999997,B,LRP116,RANGAMATIA (1) BOX CULVERT,115.052,23.2618360940594,91.3070217386138
N1,129,link,1018.7999999999913,0,LRP116-road,road N1,115.05520000000001,23.2618360940594,91.3070217386138
N1,130,bridge,4.5,B,LRP117,HARISHARDE CULVERT,116.074,23.2527463398104,91.3083926405213
N1,131,link,1008.5000000000052,0,LRP117-road,road N1,116.07849999999999,23.2527463398104,91.3083926405213
N1,132,bridge,8.1,B,LRP118,SONAGATI BOX CULVERT,117.087,23.2443915125925,91.3114032292592
N1,133,link,953.9000000000033,0,LRP118-road,road N1,117.0951,23.2443915125925,91.3114032292592
N1,134,bridge,2.8,B,LRP119,KALIR BAZAR BOX CULVERT,118.049,23.2360759516523,91.3129901976744
N1,135,link,1138.1999999999912,0,LRP119-road,road N1,118.0518,23.2360759516523,91.3129901976744
N1,136,bridge,4.3,B,LRP120,CHAUDDAGARAM BOX CULVERT,119.19,23.2259184472573,91.3135697177215
N1,137,link,1439.7000000000028,0,LRP120-road,road N1,119.1943,23.2259184472573,91.3135697177215
N1,138,bridge,14.3,B,LRP121,HAYDAR POLE BOX CULVERT,120.634,23.2131955721448,91.3153497403899
N1,139,link,918.6999999999928,0,LRP121-road,road N1,120.6483,23.2131955721448,91.3153497403899
N1,140,bridge,6.1,A,LRP122,FALGUNCORA CULVERT,121.567,23.2050386287937,91.3163167282749
N1,141,link,1029.9000000000015,0,LRP122-road,road N1,121.5731,23.2050386287937,91.3163167282749
N1,142,bridge,6.1,A,LRP123,ATTOCK GRAM BOX CULVERT,122.603,23.1961887953757,91.3176705069364
N1,143,link,1071.900000000003,0,LRP123-road,road N1,122.6091,23.1961887953757,91.3176705069364
N1,144,bridge,6.1,C,LRP124,BOSONTA PUR BOX CULVERT,123.681,23.1874350254302,91.3209051317399
N1,145,link,658.9000000000062,0,LRP124-road,road N1,123.6871,23.1874350254302,91.3209051317399
N1,146,bridge,9.5,B,LRP125,BASHONTA PUR (2),124.346,23.1817958149837,91.3208787514658
N1,147,link,1054.499999999993,0,LRP125-road,road N1,124.3555,23.1817958149837,91.3208787514658
N1,148,bridge,3.1,B,LRP126,NANKORA BOX CULVERT,125.41,23.1726272318681,91.3205774642857
N1,149,link,1034.899999999997,0,LRP126-road,road N1,125.4131,23.1726272318681,91.3205774642857
N1,150,bridge,9.5,A,LRP127,ANDAJER BAZER BOX CULVERT,126.448,23.1635138669191,91.3215889464646
N1,151,link,1215.5000000000086,0,LRP127-road,road N1,126.4575,23.1635138669191,91.3215889464646
N1,152,bridge,6.3,B,LRP128,DIMATOLI (1) BOX CULVERT,127.673,23.1527364949367,91.3243178772152
N1,153,link,1087.6999999999941,0,LRP128-road,road N1,127.6793,23.1527364949367,91.3243178772152
